time,hours_since_previous,mag,mag_previous
2015-03-07 23:00:00,7,2.42,2.59
2015-03-08 07:00:00,8,2.13,2.42
2015-03-08 10:00:00,3,2.25,2.13
2015-03-08 12:00:00,2,2.67,2.25
2015-03-08 19:00:00,7,2.06,2.67
2015-03-08 23:00:00,4,2.19,2.06
2015-03-09 01:00:00,2,2.86,2.19
2015-03-09 06:00:00,5,2.01,2.86
2015-03-09 16:00:00,10,2.64,2.01
2015-03-09 19:00:00,3,2.23,2.64
2015-03-09 20:00:00,1,2.12,2.23
2015-03-09 22:00:00,2,2.84,2.12
2015-03-10 00:00:00,2,3.43,2.84
2015-03-10 04:00:00,4,2.93,3.43
2015-03-10 06:00:00,2,2.18,2.93
2015-03-10 07:00:00,1,3.79,2.18
2015-03-10 16:00:00,9,2.56,3.79
2015-03-10 17:00:00,1,3.04,2.56
2015-03-10 21:00:00,4,2.69,3.04
2015-03-10 22:00:00,1,2.29,2.69
2015-03-11 02:00:00,4,2.17,2.29
2015-03-11 04:00:00,2,2.42,2.17
2015-03-11 08:00:00,4,2.48,2.42
2015-03-11 12:00:00,4,2.06,2.48
2015-03-11 14:00:00,2,2.8,2.06
2015-03-11 16:00:00,2,2.92,2.8
2015-03-11 22:00:00,6,2.28,2.92
2015-03-12 00:00:00,2,2.24,2.28
2015-03-12 04:00:00,4,2.23,2.24
2015-03-12 07:00:00,3,2.46,2.23
2015-03-12 21:00:00,14,2.65,2.46
2015-03-13 04:00:00,7,2.0,2.65
2015-03-13 10:00:00,6,2.06,2.0
2015-03-13 12:00:00,2,2.17,2.06
2015-03-13 13:00:00,1,2.41,2.17
2015-03-13 21:00:00,8,2.08,2.41
2015-03-13 23:00:00,2,2.19,2.08
2015-03-14 00:00:00,1,2.01,2.19
2015-03-14 03:00:00,3,2.61,2.01
2015-03-14 06:00:00,3,2.34,2.61
2015-03-14 11:00:00,5,3.2,2.34
2015-03-14 14:00:00,3,2.51,3.2
2015-03-14 22:00:00,8,2.25,2.51
2015-03-14 23:00:00,1,2.31,2.25
2015-03-15 04:00:00,5,2.75,2.31
2015-03-15 05:00:00,1,2.16,2.75
2015-03-15 10:00:00,5,2.78,2.16
2015-03-15 13:00:00,3,2.0,2.78
2015-03-16 07:00:00,18,2.52,2.0
2015-03-16 23:00:00,16,2.35,2.52
2015-03-17 02:00:00,3,2.32,2.35
2015-03-17 03:00:00,1,2.98,2.32
2015-03-17 05:00:00,2,3.79,2.98
2015-03-17 08:00:00,3,2.74,3.79
2015-03-17 11:00:00,3,2.42,2.74
2015-03-17 16:00:00,5,2.52,2.42
2015-03-18 05:00:00,13,2.22,2.52
2015-03-18 12:00:00,7,2.29,2.22
2015-03-18 16:00:00,4,2.01,2.29
2015-03-19 02:00:00,10,2.93,2.01
2015-03-19 08:00:00,6,2.39,2.93
2015-03-19 22:00:00,14,2.07,2.39
2015-03-21 04:00:00,30,2.76,2.07
2015-03-21 07:00:00,3,2.7,2.76
2015-03-21 10:00:00,3,2.17,2.7
2015-03-21 15:00:00,5,2.6,2.17
2015-03-21 16:00:00,1,2.5,2.6
2015-03-21 17:00:00,1,2.13,2.5
2015-03-21 18:00:00,1,2.58,2.13
2015-03-21 19:00:00,1,2.55,2.58
2015-03-21 20:00:00,1,2.39,2.55
2015-03-21 22:00:00,2,2.37,2.39
2015-03-22 03:00:00,5,3.31,2.37
2015-03-22 07:00:00,4,2.03,3.31
2015-03-22 21:00:00,14,2.27,2.03
2015-03-23 04:00:00,7,2.16,2.27
2015-03-23 10:00:00,6,2.16,2.16
2015-03-23 11:00:00,1,2.2,2.16
2015-03-23 15:00:00,4,2.63,2.2
2015-03-23 16:00:00,1,2.92,2.63
2015-03-23 23:00:00,7,2.93,2.92
2015-03-24 02:00:00,3,2.86,2.93
2015-03-24 03:00:00,1,2.01,2.86
2015-03-24 04:00:00,1,3.56,2.01
2015-03-24 14:00:00,10,2.1,3.56
2015-03-24 17:00:00,3,2.37,2.1
2015-03-24 21:00:00,4,2.01,2.37
2015-03-25 01:00:00,4,2.41,2.01
2015-03-25 02:00:00,1,2.61,2.41
2015-03-25 04:00:00,2,2.2,2.61
2015-03-25 14:00:00,10,2.69,2.2
2015-03-25 16:00:00,2,2.05,2.69
2015-03-25 21:00:00,5,2.02,2.05
2015-03-25 23:00:00,2,2.43,2.02
2015-03-26 00:00:00,1,2.56,2.43
2015-03-26 06:00:00,6,2.39,2.56
2015-03-26 14:00:00,8,2.22,2.39
2015-03-26 18:00:00,4,3.05,2.22
2015-03-26 19:00:00,1,2.92,3.05
2015-03-26 21:00:00,2,2.09,2.92
2015-03-26 22:00:00,1,2.56,2.09
